1º Dios,LINEA ESPAÑOLA ,       Factor venta =,,,1.85,      Dólar =,,21.00
"Bisel 11/2""",Cristal ,ancho mts,altura mts,claro  6mm,tintex normal   6mm,filtrasol    6mm,satinov  claro   6mm,alusign 3mm
FTL,fijo triple ligero,,,"$3,356","$3,999","$4,126","$3,456","$5,469"
FCL,fijo cuádruple ligero,,,"$3,730","$4,445","$4,587","$3,841","$6,080"
FSC,fijo sencillo comercial,,,"$2,425","$2,890","$2,982","$2,498","$3,953"
FDC,fijo doble comercial,,,"$3,340","$3,981","$4,108","$3,440","$5,444"
FTC,fijo triple comercial ,,,"$4,255","$5,071","$5,233","$4,382","$6,935"
FCC,fijo cuádruple comercial,,,"$4,700","$5,601","$5,779","$4,840","$7,660"
PR1,ventana de proyecciòn 1 hoja ,,,"$3,903","$4,651","$4,799","$4,019","$6,361"
PR2,ventana de proyecciòn 2 hojas ,,,"$6,850","$8,163","$8,423","$7,054","$11,164"
PVR,ventana pivotante rectangular,,,"$6,154","$7,334","$7,567","$6,337","$10,030"
PBL1,puerta batiente ligera 1 hoja,,,"$4,256","$5,071","$5,233","$4,382","$6,936"
PBC1,puerta batiente comercial 1 hoja,,,"$5,739","$6,839","$7,057","$5,909","$9,353"
PBR1,puerta batiente residencial 1 hoja,,,"$7,092","$8,452","$8,721","$7,303","$11,559"
PBL2,puerta batiente ligera 2 hojas,,,"$6,506","$7,754","$8,001","$6,700","$10,604"
PBC2,puerta batiente comercial 2 hojas,,,"$8,845","$10,541","$10,877","$9,108","$14,416"
PBR2,puerta batiente residencial 2 hojas,,,"$11,277","$13,439","$13,867","$11,613","$18,380"
